,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Healthy-Chocolate-Porridge-1711204,300.0,6,4,120.0,420
1,Healthy-French-Toast-w_-Peach-Chia-Seed-Compote-1708324,1200.0,5,4,600.0,1800
2,Tater-Tot-Breakfast-Casserole-1711041,,10,4,,3300
3,Norwegian-Pancakes-1707570,,5,6,,1500
4,The-28-Day-Shrink-Your-Stomach-Challenge-Breakfast-Spinach-Tacos-1690736,,8,2,,1500
5,Baked-Egg-In-Avocado-1686638,,5,2,,2100
6,Fruitful-Morning-Muesli-760983,,5,4,,1500
7,Baked-Oatmeal-760976,2400.0,6,8,900.0,3300
8,Grandma-Rocks-Secret-Pancake-1690204,,8,4,,1800
9,Apples-_-Cinnamon-Oatmeal-with-Cranberries-and-Pecans-760988,,3,1,,600
10,Microwave-Cinnamon-Maple-Breakfast-Quinoa-1705828,420.0,7,2,180.0,600
11,Pancakes-From-Scratch-1698304,,7,4,,1800
12,Cinnamon-and-Spice-Oatmeal-with-Ricotta-and-Pear-984897,,4,1,,600
13,French-Toast-1684952,600.0,7,8,600.0,1200
14,Fluffy-Pancakes-for-Breakfast-1633815,,6,4,,1500
15,Crepes-1622679,,6,20,300.0,1500
16,Pumpkin-Cheesecake-Oatmeal-760990,,8,1,,900
17,Strawberries-_-Cream-Oatmeal-Chilled-Oats-760987,,3,1,,600
18,Vanilla-Peach-Overnight-Oats-1706871,,5,1,600.0,29400
19,Brown-Sugar-Maple-Bacon-1702683,,3,4,,3300
20,Banana-Pancakes-1703428,,8,4,,2100
21,The-Best-French-Toast-1637883,,7,4,,1200
22,Loaded-Vanilla-Overnight-Oats-1703113,,10,1,300.0,300
23,Cinnamon-Roll-Breakfast-Bake-1705835,,7,10,,2400
24,Country-Gravy-Breakfast-Casserole-1697626,,8,4,,3600
25,Creamy-Maple-Cranberry-Oatmeal-760979,,5,4,,600
26,Fluffy-Buttermilk-Pancakes-1691305,,10,9,1200.0,1200
27,Vanilla-Maple-Almond-Butter-Overnight-Oats-1700018,21600.0,5,2,300.0,21900
28,Bacon_-Egg-and-Cheese-Brunch-Ring-768362,,9,8,1800.0,3300
29,PB_J-and-Apple-Oatmeal-760997,,4,1,,900
30,Low-Carb-Gluten-Free-Musli-Cereal-1704968,480.0,9,15,60.0,540
31,Maple-Brown-Sugar-Oatmeal-with-Orange_-Cranberries_-Almonds-760986,,5,1,,600
32,Express-Breakfast-1684593,,8,4,,2700
