,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Baked-French-Toast-Casserole-1636754,,6,8,,3600
1,Coconut-Flour-Pancakes-1638026,360.0,7,4,1200.0,1560
2,Vegan-Coconut-Waffles-_for-Mama-_-Babe_-1702323,1200.0,20,4,300.0,1500
3,Whole-wheat-pancakes-_new-and-improved_-352121,,9,7,,1200
4,Blueberry-Oatmeal-Breakfast-Bars-1701314,1500.0,17,9,600.0,2100
5,JENNY_S-BETTER-THAN-BOXED-LOW-CARB-PANCAKES-1663506,,7,1,,900
6,Vanilla-Cinnamon-French-Toast-1057625,300.0,7,1,,600
7,Blueberry-Jam-1643229,1200.0,5,10,900.0,2100
8,Keto-Pancakes-Recipe-_with-cream-cheese__-1038440,,5,4,,900
9,Loaded-Puff-Pastry-Breakfast-Cups-1708345,,12,9,,4800
10,Biscuits-_-Gravy-Breakfast-Casserole-1700005,2400.0,8,7,600.0,3000
11,Breakfast-Casserole-1549257,,7,4,,2700
12,Broccoli_-ham_-and-mozzarella-baked-with-eggs-310089,,8,8,,3600
13,Quinoa-Breakfast-Bowl-1576732,,6,4,,1200
14,Egg-_-Nopalitos-Scramble--1683337,,9,4,,900
15,Courgette-Waffles-1567406,300.0,6,12,1200.0,1500
16,Scrambled-Egg-Whites-with-Steamed-Sweet-Potato-1690024,,6,1,300.0,960
17,The-Perfect-Omelet-1696481,300.0,8,1,180.0,480
18,Bacon-_-Sweet-Potato-Hash-1686840,600.0,7,4,300.0,900
19,Paleo-Chocolate-Breakfast-Bread-1521721,1200.0,9,4,600.0,1800
20,African-Pancakes-1618969,900.0,8,4,4200.0,5100
21,Omelet-in-Ziploc-Bag-1204780,,4,1,,900
22,Apple-Cinnamon-French-Toast-1624670,600.0,12,4,600.0,1200
23,Cottage-Cheese-Pancakes-1639931,300.0,8,8,300.0,600
24,Steak-and-Egg-Breakfast-Tacos-1687037,,8,4,,1500
25,Caramelized-Peach-Quinoa-Breakfast-Bowl-1684482,,9,2,,2100
26,Bacon-Banana-Pancakes-with-Buttery-Bourbon-Maple-Syrup-1701366,,13,6,,2700
27,Southern-sausage-gravy-308032,,6,8,,1200
28,Zoodles-and-Eggs-1685332,,7,4,,1200
29,Healthy-Chocolate-Pancakes-1476322,900.0,13,6,600.0,1500
30,Savory-Breakfast-Cookies-_low-carb_-1528409,600.0,9,12,600.0,1200
31,Brioche-French-Toast-1065036,,5,4,,900
32,Whole-30-California-Avocado-Sweet-Potato-Hash-1593576,600.0,8,2,300.0,900
33,Egg-McMuffin-Casserole-1631085,,7,4,,4500
34,Strawberries-_-Cream-Oatmeal-1640883,,5,4,,1200
35,Cream-Cheese-Stuffed-French-Toast-With-Blueberry-Sauce-1708325,,14,4,,4200
36,Perfect-Pancakes-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41350,,10,6,900.0,1800
37,Berry-No-Cook-Overnight-Oatmeal-1098051,,4,1,300.0,300
38,Basic-Crepes-1686240,,5,20,1800.0,1800
39,Terang-Bulan-Pancake-1702679,,9,4,,2400
40,Make-Ahead-Egg-Bake-1655783,47400.0,6,12,1200.0,48600
41,How-to-Scramble-Eggs-1569802,600.0,5,2,120.0,720
42,Easy-Overnight-Maple-_-Brown-Sugar-Oatmeal-1705064,180.0,8,4,300.0,480
43,Slow-Cooker-Blueberry-Almond-Oatmeal-1707707,14400.0,10,2,300.0,14700
